Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-19,6.659276485443115,6.517499923706055,13.899136543273926,,22.16649627685547,6.7488659021758455,6.685500144958496,14.097695515139119,,22.398723447257765,6.628713927191883,6.482999801635742,13.8316260199114,,21.986707361495437,6.735382644151322,6.685500144958496,13.899136543273926,,22.293846937173235,559445600,178100000,191576232,,81332100
2010-03-22,6.734186172485352,6.523499965667725,13.837087631225586,,22.173986434936523,6.77164038974122,6.547999858856201,14.069153597181192,,22.248898836072378,6.596356381196804,6.432000160217285,13.757167460883549,,22.0166702496677,6.6059447632269315,6.510000228881836,13.802588450291147,,22.099074033800665,456419600,107668000,160031808,,37718200
2010-03-23,6.8423542976379395,6.4629998207092285,13.626118659973145,,22.38373374938965,6.854939052713901,6.546999931335449,13.857191470501858,,22.398716511572445,6.714711325021212,6.403500080108643,13.452379903816139,,22.031647411102984,6.7608546268675385,6.54449987411499,13.825670793420935,,22.166489413078466,602431200,84262000,219831948,,42026600
2010-03-24,6.87261438369751,6.4019999504089355,13.832868576049805,,22.211441040039062,6.897483846448694,6.46999979019165,13.895414304689899,,22.361265836367767,6.816882720170938,6.360000133514404,13.395294398344552,,22.17398555537446,6.820778399935938,6.432000160217285,13.539496892844186,,22.263879290103564,597780400,93928000,262345392,,33987700
2010-03-25,6.791116714477539,6.736499786376953,13.970619201660156,,22.481128692626953,6.920557493009965,6.8454999923706055,14.196975979803403,,22.900636188982684,6.779131234956361,6.4019999504089355,13.865878801247016,,22.323812488471443,6.9190589080204346,6.456999778747559,13.87481336473407,,22.346286640160912,542284400,324192000,157078764,,73168700
2010-03-26,6.918458461761475,6.752999782562256,13.965902328491211,,22.21893310546875,6.949919136387301,6.8495001792907715,14.08255578856422,,22.623459210685194,6.848044989796862,6.688000202178955,13.899633712168995,,22.16649485379296,6.8600304659011035,6.744999885559082,14.029937777002962,,22.54105542728884,640875200,131314000,107740152,,55595500
2010-03-29,6.963102340698242,6.75600004196167,13.959945678710938,,22.16649627685547,7.00744780206245,6.831500053405762,14.01628658391689,,22.33879380880442,6.940031499409348,6.7164998054504395,13.913284671834196,,22.136530743211154,6.981380591755804,6.768499851226807,13.973597229676884,,22.25639002011784,540744400,92538000,124055820,,33336000
2010-03-30,7.066775321960449,6.828999996185303,14.065678596496582,,22.30133628845215,7.115615743905433,6.9095001220703125,14.088512524102661,,22.368757304173062,7.018834210899043,6.76800012588501,13.906086080150176,,22.0990732412894,7.089247692767401,6.7870001792907715,13.969377138177318,,22.196458359088968,527310000,123854000,79036884,,34954800
2010-03-31,7.0413055419921875,6.78849983215332,14.075854301452637,,21.941755294799805,7.0895466829244205,6.840000152587891,14.140882899137559,,22.263876132197172,7.025125949463385,6.723999977111816,13.968880740160849,,21.851860143986272,7.055988150166258,6.800000190734863,14.024477254296237,,22.203946507933132,430659600,92012000,121110768,,63760000
2010-04-01,7.070369243621826,6.5904998779296875,14.117551803588867,,21.84437370300293,7.153066619939685,6.825500011444092,14.232965247581214,,22.12904055426789,6.973888571201762,6.559000015258789,14.036887245888856,,21.43984900493598,7.113516153060706,6.789999961853027,14.180842863999487,,21.98670712863541,603145200,175716000,84023892,,74768100
